,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,country_cyrilic
434,Zürich,Zurich,47.38,8.55,Switzerland,CH,CHE,Zürich,admin,1108000.0,Швајцарија
435,Baoding,Baoding,38.8704,115.48,China,CN,CHN,Hebei,,1107000.0,Кина
436,Zigong,Zigong,29.4,104.78,China,CN,CHN,Sichuan,,1105000.0,Кина
437,Sharjah,Sharjah,25.3714,55.4065,United Arab Emirates,AE,ARE,Ash Shāriqah,admin,1103027.0,Обединети Арапски Емирати
438,Yerevan,Yerevan,40.1812,44.5136,Armenia,AM,ARM,Yerevan,primary,1102000.0,Ерменија
439,Mogadishu,Mogadishu,2.0667,45.3667,Somalia,SO,SOM,Banaadir,primary,1100000.0,Сомалија
440,Tbilisi,Tbilisi,41.725,44.7908,Georgia,GE,GEO,Tbilisi,primary,1100000.0,Грузија
441,Ankang,Ankang,32.68,109.02,China,CN,CHN,Shaanxi,,1100000.0,Кина
442,Huambo,Huambo,-12.75,15.76,Angola,AO,AGO,Huambo,admin,1100000.0,Ангола
443,Ikare,Ikare,7.5304,5.76,Nigeria,NG,NGA,Ondo,minor,1099931.0,Нигерија
444,Belgrade,Belgrade,44.8186,20.468,Serbia,RS,SRB,Beograd,primary,1099000.0,Србија
445,Salt Lake City,Salt Lake City,40.7774,-111.93,United States,US,USA,Utah,admin,1098400.0,Соединети Американски Држави
446,Bhilai,Bhilai,21.2167,81.4333,India,IN,IND,Chhattīsgarh,,1097000.0,Индија
447,Jinhua,Jinhua,29.12,119.65,China,CN,CHN,Zhejiang,minor,1092852.0,Кина
448,Chelyabinsk,Chelyabinsk,55.155,61.4387,Russia,RU,RUS,Chelyabinskaya Oblast’,admin,1091000.0,Русија
449,Natal,Natal,-5.78,-35.24,Brazil,BR,BRA,Rio Grande do Norte,admin,1088000.0,Бразил
450,Dushanbe,Dushanbe,38.56,68.7739,Tajikistan,TJ,TJK,Dushanbe,primary,1086244.0,Таџикистан
451,Copenhagen,Copenhagen,55.6786,12.5635,Denmark,DK,DNK,Hovedstaden,primary,1085000.0,Данска
452,Changwon,Changwon,35.2191,128.5836,"Korea, South",KR,KOR,Gyeongnam,admin,1081499.0,Јужна Кореја
453,Zhuzhou,Zhuzhou,27.83,113.15,China,CN,CHN,Hunan,minor,1080000.0,Кина
454,Suwon,Suwon,37.2578,127.0109,"Korea, South",KR,KOR,Gyeonggi,admin,1078000.0,Јужна Кореја
455,Nashville,Nashville,36.1715,-86.7843,United States,US,USA,Tennessee,admin,1076645.0,Соединети Американски Држави
456,Vereeniging,Vereeniging,-26.6496,27.96,South Africa,ZA,ZAF,Gauteng,,1074000.0,Јужноафриканска Република
457,Xiangyang,Xiangyang,32.02,112.13,China,CN,CHN,Hubei,minor,1069000.0,Кина
458,Memphis,Memphis,35.1046,-89.9773,United States,US,USA,Tennessee,,1068873.0,Соединети Американски Држави
459,Ulsan,Ulsan,35.5467,129.317,"Korea, South",KR,KOR,Ulsan,admin,1061000.0,Јужна Кореја
460,Amman,Amman,31.95,35.9333,Jordan,JO,JOR,Al ‘Āşimah,primary,1060000.0,Јордан
461,Mizhou,Mizhou,35.99,119.3801,China,CN,CHN,Shandong,minor,1060000.0,Кина
462,Richmond,Richmond,37.5295,-77.4756,United States,US,USA,Virginia,admin,1059907.0,Соединети Американски Држави
463,Dublin,Dublin,53.3331,-6.2489,Ireland,IE,IRL,Dublin,primary,1059000.0,Ирска
464,Edmonton,Edmonton,53.55,-113.5,Canada,CA,CAN,Alberta,admin,1058000.0,Канада
465,Solāpur,Solapur,17.6704,75.9,India,IN,IND,Mahārāshtra,,1057000.0,Индија
466,Rostov-na-Donu,Rostov-na-Donu,47.2346,39.7127,Russia,RU,RUS,Rostovskaya Oblast’,admin,1052000.0,Русија
467,Dnipro,Dnipro,48.48,35.0,Ukraine,UA,UKR,Dnipropetrovs’ka Oblast’,admin,1050000.0,Украина
