,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,country_cyrilic
4669,Ceres,Ceres,-15.3033,-49.6052,Brazil,BR,BRA,Goiás,,18759.0,Бразил
4670,Whakatane,Whakatane,-37.9574,176.9828,New Zealand,NZ,NZL,Bay of Plenty,admin,18700.0,Нов Зеланд
4671,Lezhë,Lezhe,41.788,19.654,Albania,AL,ALB,Lezhë,admin,18695.0,Албанија
4672,Brookfield,Brookfield,41.8245,-87.847,United States,US,USA,Illinois,,18694.0,Соединети Американски Држави
4673,East Massapequa,East Massapequa,40.6743,-73.4358,United States,US,USA,New York,,18689.0,Соединети Американски Држави
4674,Idylwood,Idylwood,38.8896,-77.2055,United States,US,USA,Virginia,,18678.0,Соединети Американски Држави
4675,Mansa Konko,Mansa Konko,13.3773,-15.6786,"Gambia, The",GM,GMB,Lower River,admin,18672.0,Гамбија
4676,Point Pleasant,Point Pleasant,40.0772,-74.0702,United States,US,USA,New Jersey,,18651.0,Соединети Американски Држави
4677,Winthrop Town,Winthrop Town,42.3751,-70.9847,United States,US,USA,Massachusetts,,18625.0,Соединети Американски Држави
4678,Sherrelwood,Sherrelwood,39.839,-105.0014,United States,US,USA,Colorado,,18616.0,Соединети Американски Држави
4679,Molde,Molde,62.7483,7.1833,Norway,NO,NOR,Møre og Romsdal,admin,18594.0,Норвешка
4680,North Massapequa,North Massapequa,40.7031,-73.4679,United States,US,USA,New York,,18591.0,Соединети Американски Држави
4681,Hinche,Hinche,19.143,-72.004,Haiti,HT,HTI,Centre,admin,18590.0,Хаити
4682,Santiago Ixcuintla,Santiago Ixcuintla,21.82,-105.22,Mexico,MX,MEX,Nayarit,minor,18365.0,Мексико
4683,Bryn Mawr-Skyway,Bryn Mawr-Skyway,47.4949,-122.2411,United States,US,USA,Washington,,18365.0,Соединети Американски Држави
4684,Hyattsville,Hyattsville,38.9612,-76.9548,United States,US,USA,Maryland,,18333.0,Соединети Американски Држави
4685,Mchinji,Mchinji,-13.8,32.9,Malawi,MW,MWI,Mchinji,admin,18305.0,Малави
4686,Tindouf,Tindouf,27.6742,-8.1478,Algeria,DZ,DZA,Tindouf,admin,18270.0,Алжир
4687,Dover,Dover,40.8859,-74.5597,United States,US,USA,New Jersey,,18232.0,Соединети Американски Држави
4688,Kédougou,Kedougou,12.5604,-12.18,Senegal,SN,SEN,Kédougou,admin,18226.0,Сенегал
4689,Glassmanor,Glassmanor,38.8181,-76.9836,United States,US,USA,Maryland,,18158.0,Соединети Американски Држави
4690,Muramvya,Muramvya,-3.261,29.612,Burundi,BI,BDI,Muramvya,admin,18041.0,Бурунди
4691,Keetmanshoop,Keetmanshoop,-26.5739,18.13,Namibia,,NAM,//Karas,admin,18039.0,Намибија
4692,Mao,Mao,14.1194,15.3133,Chad,TD,TCD,Kanem,admin,18031.0,Чад
4693,Dumont,Dumont,40.9452,-73.9923,United States,US,USA,New Jersey,,17998.0,Соединети Американски Држави
4694,Kirsanov,Kirsanov,52.6574,42.7174,Russia,RU,RUS,Tambovskaya Oblast’,,17975.0,Русија
4695,Burke Centre,Burke Centre,38.7903,-77.2998,United States,US,USA,Virginia,,17969.0,Соединети Американски Држави
4696,Takoma Park,Takoma Park,38.981,-77.0028,United States,US,USA,Maryland,,17885.0,Соединети Американски Држави
4697,Sudley,Sudley,38.7878,-77.4961,United States,US,USA,Virginia,,17849.0,Соединети Американски Држави
4698,Kukës,Kukes,42.083,20.434,Albania,AL,ALB,Kukës,admin,17832.0,Албанија
4699,Seabrook,Seabrook,38.9802,-76.8502,United States,US,USA,Maryland,,17808.0,Соединети Американски Држави
4700,Obock,Obock,11.9734,43.2856,Djibouti,DJ,DJI,Obock,admin,17776.0,Џибути
4701,Dzuunmod,Dzuunmod,47.711,106.947,Mongolia,MN,MNG,Töv,admin,17738.0,Монголија
4702,Ojus,Ojus,25.9563,-80.1606,United States,US,USA,Florida,,17727.0,Соединети Американски Држави
4703,Đông Hà,Dong Ha,16.85,107.1333,Vietnam,VN,VNM,Quảng Trị,admin,17662.0,Виетнам
4704,Greenfield,Greenfield,36.3232,-121.2451,United States,US,USA,California,,17647.0,Соединети Американски Држави
4705,Harrison,Harrison,40.7431,-74.1531,United States,US,USA,New Jersey,,17643.0,Соединети Американски Држави
4706,Miahuatlán de Porfirio Díaz,Miahuatlan de Porfirio Diaz,16.33,-96.6,Mexico,MX,MEX,Oaxaca,minor,17632.0,Мексико
4707,Peto,Peto,20.13,-88.92,Mexico,MX,MEX,Yucatán,,17607.0,Мексико
4708,Bostonia,Bostonia,32.8189,-116.9479,United States,US,USA,California,,17600.0,Соединети Американски Држави
4709,Eldama Ravine,Eldama Ravine,0.0504,35.72,Kenya,KE,KEN,Baringo,,17581.0,Кенија
4710,Wahiawa,Wahiawa,21.5004,-158.0198,United States,US,USA,Hawaii,,17555.0,Соединети Американски Држави
4711,La Paz,La Paz,14.32,-87.684,Honduras,HN,HND,La Paz,admin,17555.0,Хондурас
4712,South Houston,South Houston,29.6611,-95.2285,United States,US,USA,Texas,,17543.0,Соединети Американски Држави
4713,Pakwach,Pakwach,2.4704,31.48,Uganda,UG,UGA,,admin,17541.0,Уганда
4714,Vincent,Vincent,34.0982,-117.9238,United States,US,USA,California,,17485.0,Соединети Американски Држави
4715,Woodmere,Woodmere,40.6374,-73.7219,United States,US,USA,New York,,17376.0,Соединети Американски Држави
4716,El Dorado,El Dorado,24.3305,-107.37,Mexico,MX,MEX,Sinaloa,,17365.0,Мексико
4717,Bulgan,Bulgan,48.8106,103.5317,Mongolia,MN,MNG,Bulgan,admin,17348.0,Монголија
4718,Mehtar Lām,Mehtar Lam,34.65,70.1667,Afghanistan,AF,AFG,Laghmān,admin,17345.0,Авганистан
4719,Loikaw,Loikaw,19.665,97.206,Burma,MM,MMR,Kayah State,admin,17293.0,Мјанмар (Бурма)
4720,Massapequa Park,Massapequa Park,40.6817,-73.4496,United States,US,USA,New York,,17266.0,Соединети Американски Држави
4721,Merrifield,Merrifield,38.8731,-77.2426,United States,US,USA,Virginia,,17243.0,Соединети Американски Држави
4722,East Cleveland,East Cleveland,41.5318,-81.5795,United States,US,USA,Ohio,,17187.0,Соединети Американски Држави
4723,Yauco,Yauco,18.0344,-66.8614,Puerto Rico,PR,PRI,Puerto Rico,,17129.0,Порторико
4724,Dutse,Dutse,11.7992,9.3503,Nigeria,NG,NGA,Jigawa,admin,17129.0,Нигерија
4725,Makokou,Makokou,0.5671,12.8666,Gabon,GA,GAB,Ogooué-Ivindo,admin,17070.0,Габон
4726,Härnösand,Harnosand,62.634,17.934,Sweden,SE,SWE,Västernorrland,admin,17016.0,Шведска
4727,Vila Real,Vila Real,41.294,-7.737,Portugal,PT,PRT,Vila Real,admin,17001.0,Португалија
4728,San Ignacio,San Ignacio,17.156,-89.061,Belize,BZ,BLZ,Cayo,admin,16977.0,Белизе
4729,Carmelo,Carmelo,-33.9896,-58.3,Uruguay,UY,URY,Colonia,,16921.0,Уругвај
4730,Glenmont,Glenmont,39.0697,-77.0466,United States,US,USA,Maryland,,16917.0,Соединети Американски Држави
4731,Zaghouan,Zaghouan,36.4,10.147,Tunisia,TN,TUN,Zaghouan,admin,16911.0,Тунис
4732,Artesia,Artesia,33.8676,-118.0806,United States,US,USA,California,,16904.0,Соединети Американски Држави
4733,New Milford,New Milford,40.9337,-74.0196,United States,US,USA,New Jersey,,16868.0,Соединети Американски Држави
4734,Clayton,Clayton,38.6444,-90.3303,United States,US,USA,Missouri,,16805.0,Соединети Американски Држави
4735,Ma’rib,Ma'rib,15.421,45.334,Yemen,YE,YEM,Ma’rib,admin,16794.0,Јемен
4736,Hybla Valley,Hybla Valley,38.7485,-77.0822,United States,US,USA,Virginia,,16768.0,Соединети Американски Држави
4737,Apodi,Apodi,-5.65,-37.8,Brazil,BR,BRA,Rio Grande do Norte,,16757.0,Бразил
4738,Four Corners,Four Corners,44.9292,-122.9731,United States,US,USA,Oregon,,16648.0,Соединети Американски Држави
4739,Brownsville,Brownsville,25.8216,-80.2417,United States,US,USA,Florida,,16615.0,Соединети Американски Држави
4740,Country Walk,Country Walk,25.6331,-80.4353,United States,US,USA,Florida,,16601.0,Соединети Американски Држави
4741,Manassas Park,Manassas Park,38.7718,-77.445,United States,US,USA,Virginia,,16591.0,Соединети Американски Држави
4742,Lansdale,Lansdale,40.2417,-75.2812,United States,US,USA,Pennsylvania,,16588.0,Соединети Американски Држави
4743,South Orange Village,South Orange Village,40.7491,-74.2602,United States,US,USA,New Jersey,,16503.0,Соединети Американски Држави
4744,Hazel Park,Hazel Park,42.4619,-83.0977,United States,US,USA,Michigan,,16489.0,Соединети Американски Држави
4745,Cuilapa,Cuilapa,14.279,-90.298,Guatemala,GT,GTM,Santa Rosa,admin,16484.0,Гватемала
4746,Mulanje,Mulanje,-16.0333,35.5,Malawi,MW,MWI,Mulanje,admin,16483.0,Малави
4747,Marsabit,Marsabit,2.33,37.98,Kenya,KE,KEN,Marsabit,admin,16460.0,Кенија
4748,Santa Lucía,Santa Lucia,-34.47,-56.4,Uruguay,UY,URY,Canelones,,16438.0,Уругвај
4749,Rivière-du-Loup,Riviere-du-Loup,47.8333,-69.5333,Canada,CA,CAN,Québec,,16403.0,Канада
4750,Ntungamo,Ntungamo,-0.8794,30.2642,Uganda,UG,UGA,Ntungamo,admin,16400.0,Уганда
4751,South River,South River,40.4455,-74.3783,United States,US,USA,New Jersey,,16349.0,Соединети Американски Држави
4752,Kingstowne,Kingstowne,38.7625,-77.1445,United States,US,USA,Virginia,,16332.0,Соединети Американски Држави
4753,Butha-Buthe,Butha-Buthe,-28.75,28.25,Lesotho,LS,LSO,Butha-Buthe,admin,16330.0,Лесото
4754,Gobabis,Gobabis,-22.455,18.963,Namibia,,NAM,Omaheke,admin,16321.0,Намибија
4755,Koulamoutou,Koulamoutou,-1.1329,12.4833,Gabon,GA,GAB,Ogooué-Lolo,admin,16222.0,Габон
4756,Avocado Heights,Avocado Heights,34.0381,-118.0026,United States,US,USA,California,,16213.0,Соединети Американски Држави
4757,Xaignabouli,Xaignabouli,19.2505,101.7501,Laos,LA,LAO,Xaignabouli,admin,16200.0,Лаос
4758,Parkway,Parkway,38.4993,-121.452,United States,US,USA,California,,16166.0,Соединети Американски Држави
4759,Compostela,Compostela,21.2304,-104.9,Mexico,MX,MEX,Nayarit,minor,16162.0,Мексико
4760,San Francisco,San Francisco,13.7,-88.1,El Salvador,SV,SLV,Morazán,admin,16152.0,Ел Салвадор
4761,Dispur,Dispur,26.144,91.7666,India,IN,IND,Assam,admin,16140.0,Индија
4762,Hillcrest Heights,Hillcrest Heights,38.8373,-76.9641,United States,US,USA,Maryland,,16137.0,Соединети Американски Држави
4763,Floral Park,Floral Park,40.7225,-73.7029,United States,US,USA,New York,,16103.0,Соединети Американски Држави
4764,Roosevelt,Roosevelt,40.6797,-73.5837,United States,US,USA,New York,,16091.0,Соединети Американски Држави
4765,East Rancho Dominguez,East Rancho Dominguez,33.8949,-118.1956,United States,US,USA,California,,16027.0,Соединети Американски Држави
4766,North Arlington,North Arlington,40.7875,-74.1273,United States,US,USA,New Jersey,,16009.0,Соединети Американски Држави
4767,Cherryland,Cherryland,37.6792,-122.1038,United States,US,USA,California,,15999.0,Соединети Американски Држави
4768,Palmetto Estates,Palmetto Estates,25.6211,-80.3616,United States,US,USA,Florida,,15998.0,Соединети Американски Држави
4769,Nieuw Nickerie,Nieuw Nickerie,5.9504,-56.99,Suriname,SR,SUR,Nickerie,admin,15992.0,Суринам
4770,Pinewood,Pinewood,25.8697,-80.2174,United States,US,USA,Florida,,15975.0,Соединети Американски Држави
4771,Walnut Park,Walnut Park,33.9683,-118.222,United States,US,USA,California,,15915.0,Соединети Американски Држави
4772,Fords,Fords,40.5415,-74.3124,United States,US,USA,New Jersey,,15915.0,Соединети Американски Држави
4773,Adelphi,Adelphi,39.0017,-76.9649,United States,US,USA,Maryland,,15898.0,Соединети Американски Држави
4774,East San Gabriel,East San Gabriel,34.1198,-118.0807,United States,US,USA,California,,15832.0,Соединети Американски Држави
4775,Baruun-Urt,Baruun-Urt,46.7,113.2833,Mongolia,MN,MNG,Sühbaatar,admin,15805.0,Монголија
4776,Asbury Park,Asbury Park,40.2226,-74.0117,United States,US,USA,New Jersey,,15767.0,Соединети Американски Држави
4777,Bellmore,Bellmore,40.6569,-73.5285,United States,US,USA,New York,,15767.0,Соединети Американски Држави
4778,La Palma,La Palma,33.8504,-118.0406,United States,US,USA,California,,15722.0,Соединети Американски Држави
4779,Pacific Grove,Pacific Grove,36.6191,-121.9255,United States,US,USA,California,,15698.0,Соединети Американски Држави
4780,Santiago Tuxtla,Santiago Tuxtla,18.4704,-95.3,Mexico,MX,MEX,Veracruz,minor,15681.0,Мексико
4781,East Riverdale,East Riverdale,38.96,-76.9108,United States,US,USA,Maryland,,15645.0,Соединети Американски Држави
4782,Villa Hayes,Villa Hayes,-25.09,-57.53,Paraguay,PY,PRY,Presidente Hayes,admin,15643.0,Парагвај
4783,West University Place,West University Place,29.7157,-95.4321,United States,US,USA,Texas,,15608.0,Соединети Американски Држави
4784,Dedza,Dedza,-14.3667,34.3333,Malawi,MW,MWI,Dedza,admin,15608.0,Малави
4785,North New Hyde Park,North New Hyde Park,40.746,-73.6876,United States,US,USA,New York,,15585.0,Соединети Американски Држави
4786,Portalegre,Portalegre,39.29,-7.423,Portugal,PT,PRT,Portalegre,admin,15581.0,Португалија
4787,La Grange,La Grange,41.8072,-87.8741,United States,US,USA,Illinois,,15581.0,Соединети Американски Држави
4788,Viana do Castelo,Viana do Castelo,41.6962,-8.8441,Portugal,PT,PRT,Viana do Castelo,admin,15555.0,Португалија
4789,Wilkinsburg,Wilkinsburg,40.4442,-79.8733,United States,US,USA,Pennsylvania,,15554.0,Соединети Американски Држави
4790,Westbury,Westbury,40.7599,-73.5891,United States,US,USA,New York,,15493.0,Соединети Американски Држави
4791,Chai Nat,Chai Nat,15.179,100.126,Thailand,TH,THA,Chai Nat,admin,15469.0,Тајланд
4792,North Fair Oaks,North Fair Oaks,37.4754,-122.2035,United States,US,USA,California,,15454.0,Соединети Американски Држави
4793,Villa Unión,Villa Union,23.2,-106.23,Mexico,MX,MEX,Sinaloa,,15443.0,Мексико
4794,Seaford,Seaford,40.6678,-73.4922,United States,US,USA,New York,,15405.0,Соединети Американски Држави
4795,Cayey,Cayey,18.115,-66.163,Puerto Rico,PR,PRI,Puerto Rico,,15365.0,Порторико
4796,Eggertsville,Eggertsville,42.9665,-78.8065,United States,US,USA,New York,,15364.0,Соединети Американски Држави
4797,Cárdenas,Cardenas,22.0,-99.67,Mexico,MX,MEX,San Luis Potosí,minor,15331.0,Мексико
4798,Berkley,Berkley,42.4986,-83.1853,United States,US,USA,Michigan,,15331.0,Соединети Американски Држави
4799,White Center,White Center,47.5086,-122.348,United States,US,USA,Washington,,15300.0,Соединети Американски Држави
4800,South Farmingdale,South Farmingdale,40.7175,-73.4471,United States,US,USA,New York,,15294.0,Соединети Американски Држави
4801,Stanford,Stanford,37.4252,-122.1674,United States,US,USA,California,,15277.0,Соединети Американски Држави
4802,Zamora,Zamora,-4.0696,-78.97,Ecuador,EC,ECU,Zamora-Chinchipe,admin,15276.0,Еквадор
4803,Takeo,Takeo,10.9838,104.7833,Cambodia,KH,KHM,Takeo,admin,15264.0,Камбоџа
4804,Parlier,Parlier,36.6085,-119.5435,United States,US,USA,California,,15245.0,Соединети Американски Држави
4805,Bull Run,Bull Run,38.7802,-77.5204,United States,US,USA,Virginia,,15235.0,Соединети Американски Држави
4806,McFarland,McFarland,35.6781,-119.2414,United States,US,USA,California,,15234.0,Соединети Американски Држави
4807,São Gabriel da Cachoeira,Sao Gabriel da Cachoeira,-0.1332,-67.0833,Brazil,BR,BRA,Amazonas,,15231.0,Бразил
4808,Kenmore,Kenmore,42.9646,-78.8713,United States,US,USA,New York,,15217.0,Соединети Американски Држави
4809,Daru,Daru,-9.1092,143.2337,Papua New Guinea,PG,PNG,Western,admin,15214.0,Папуа Нова Гвинеја
4810,Manga,Manga,11.662,-1.065,Burkina Faso,BF,BFA,Centre-Sud,admin,15173.0,Буркина Фасо
4811,West Park,West Park,25.984,-80.1923,United States,US,USA,Florida,,15153.0,Соединети Американски Држави
4812,Lüderitz,Luderitz,-26.648,15.1594,Namibia,,NAM,//Karas,,15137.0,Намибија
4813,Santa Bárbara,Santa Barbara,14.919,-88.236,Honduras,HN,HND,Santa Bárbara,admin,15119.0,Хондурас
4814,Franklin Park,Franklin Park,40.4439,-74.5432,United States,US,USA,New Jersey,,15090.0,Соединети Американски Држави
4815,Ewa Beach,Ewa Beach,21.3181,-158.0073,United States,US,USA,Hawaii,,15047.0,Соединети Американски Држави
4816,Newport,Newport,39.0855,-84.4868,United States,US,USA,Kentucky,,15033.0,Соединети Американски Држави
4817,Paro,Paro,27.3833,89.5167,Bhutan,BT,BTN,Paro,admin,15000.0,Бутан
4818,Fayrōz Kōh,Fayroz Koh,34.5167,65.25,Afghanistan,AF,AFG,Ghōr,admin,15000.0,Авганистан
4819,Izamal,Izamal,20.9304,-89.0201,Mexico,MX,MEX,Yucatán,,14954.0,Мексико
4820,Tecuala,Tecuala,22.4004,-105.46,Mexico,MX,MEX,Nayarit,minor,14921.0,Мексико
4821,Solothurn,Solothurn,47.212,7.537,Switzerland,CH,CHE,Solothurn,,14853.0,Швајцарија
4822,Peshkopi,Peshkopi,41.6833,20.4333,Albania,AL,ALB,Dibër,admin,14848.0,Албанија
4823,Pierre,Pierre,44.3748,-100.3205,United States,US,USA,South Dakota,admin,14803.0,Соединети Американски Држави
4824,Tamuín,Tamuin,21.9804,-98.75,Mexico,MX,MEX,San Luis Potosí,minor,14748.0,Мексико
4825,Öndörhaan,Ondorhaan,47.3167,110.65,Mongolia,MN,MNG,Hentiy,admin,14723.0,Монголија
4826,Técpan de Galeana,Tecpan de Galeana,17.25,-100.68,Mexico,MX,MEX,Guerrero,minor,14638.0,Мексико
4827,Midlothian,Midlothian,41.6254,-87.7243,United States,US,USA,Illinois,,14634.0,Соединети Американски Држави
4828,Haddon,Haddon,39.9063,-75.0625,United States,US,USA,New Jersey,,14612.0,Соединети Американски Држави
4829,Falls Church,Falls Church,38.8847,-77.1751,United States,US,USA,Virginia,,14583.0,Соединети Американски Држави
4830,Robbinsdale,Robbinsdale,45.0261,-93.3332,United States,US,USA,Minnesota,,14544.0,Соединети Американски Држави
4831,Fairview,Fairview,40.8182,-74.0022,United States,US,USA,New Jersey,,14537.0,Соединети Американски Држави
4832,Little Falls,Little Falls,40.8762,-74.218,United States,US,USA,New Jersey,,14524.0,Соединети Американски Држави
4833,Kiboga,Kiboga,0.9161,31.7742,Uganda,UG,UGA,Kiboga,admin,14512.0,Уганда
4834,Hawaiian Gardens,Hawaiian Gardens,33.8303,-118.0728,United States,US,USA,California,,14450.0,Соединети Американски Држави
4835,Gwanda,Gwanda,-20.9396,29.01,Zimbabwe,ZW,ZWE,Matabeleland South,admin,14450.0,Зимбабве
4836,Norridge,Norridge,41.9637,-87.8231,United States,US,USA,Illinois,,14437.0,Соединети Американски Држави
4837,Gabú,Gabu,12.28,-14.234,Guinea-Bissau,GW,GNB,Gabú,admin,14430.0,Гвинеја-Бисау
4838,Port Antonio,Port Antonio,18.159,-76.38,Jamaica,JM,JAM,Portland,admin,14400.0,Јамајка
4839,Basse Santa Su,Basse Santa Su,13.31,-14.223,"Gambia, The",GM,GMB,Upper River,admin,14380.0,Гамбија
4840,Olympia Heights,Olympia Heights,25.7241,-80.339,United States,US,USA,Florida,,14345.0,Соединети Американски Држави
4841,Halawa,Halawa,21.3754,-157.9185,United States,US,USA,Hawaii,,14335.0,Соединети Американски Држави
4842,New Cassel,New Cassel,40.76,-73.5649,United States,US,USA,New York,,14321.0,Соединети Американски Држави
4843,Weehawken,Weehawken,40.7676,-74.0167,United States,US,USA,New Jersey,,14268.0,Соединети Американски Држави
4844,Chicago Ridge,Chicago Ridge,41.7034,-87.7795,United States,US,USA,Illinois,,14186.0,Соединети Американски Држави
4845,Lemon Hill,Lemon Hill,38.5172,-121.4573,United States,US,USA,California,,14182.0,Соединети Американски Држави
4846,Schwyz,Schwyz,47.02,8.648,Switzerland,CH,CHE,Schwyz,admin,14177.0,Швајцарија
4847,Highland Park,Highland Park,40.5006,-74.4283,United States,US,USA,New Jersey,,14164.0,Соединети Американски Држави
4848,Juan Aldama,Juan Aldama,24.2904,-103.39,Mexico,MX,MEX,Zacatecas,minor,14162.0,Мексико
4849,Willowick,Willowick,41.6343,-81.468,United States,US,USA,Ohio,,14148.0,Соединети Американски Држави
4850,Sironko,Sironko,1.25,34.3,Uganda,UG,UGA,Sironko,admin,14100.0,Уганда
4851,Saddle Brook,Saddle Brook,40.9033,-74.0955,United States,US,USA,New Jersey,,14076.0,Соединети Американски Држави
4852,Lamphun,Lamphun,18.503,99.074,Thailand,TH,THA,Lamphun,admin,14030.0,Тајланд
4853,Collingswood,Collingswood,39.9161,-75.0759,United States,US,USA,New Jersey,,14027.0,Соединети Американски Држави
4854,Chinsali,Chinsali,-10.5496,32.06,Zambia,ZM,ZMB,Muchinga,admin,14015.0,Замбија
4855,Riviera Beach,Riviera Beach,39.1628,-76.5263,United States,US,USA,Maryland,,13977.0,Соединети Американски Држави
4856,Forest Park,Forest Park,41.8683,-87.8157,United States,US,USA,Illinois,,13951.0,Соединети Американски Држави
4857,Whitefish Bay,Whitefish Bay,43.1132,-87.9003,United States,US,USA,Wisconsin,,13950.0,Соединети Американски Држави
4858,Kinkala,Kinkala,-4.356,14.762,Congo (Brazzaville),CG,COG,Pool,admin,13882.0,Конго - Бразавил
4859,Roselle Park,Roselle Park,40.6653,-74.2666,United States,US,USA,New Jersey,,13821.0,Соединети Американски Држави
4860,Bexley,Bexley,39.965,-82.9343,United States,US,USA,Ohio,,13786.0,Соединети Американски Држави
4861,Harper Woods,Harper Woods,42.439,-82.9292,United States,US,USA,Michigan,,13743.0,Соединети Американски Држави
4862,Ang Thong,Ang Thong,14.5833,100.45,Thailand,TH,THA,Ang Thong,admin,13738.0,Тајланд
4863,Princeton Meadows,Princeton Meadows,40.3333,-74.5628,United States,US,USA,New Jersey,,13692.0,Соединети Американски Држави
4864,Saint Ann’s Bay,Saint Ann's Bay,18.4326,-77.1995,Jamaica,JM,JAM,Saint Ann,admin,13671.0,Јамајка
4865,Pedreiras,Pedreiras,-4.5696,-44.67,Brazil,BR,BRA,Maranhão,,13638.0,Бразил
4866,Grover Beach,Grover Beach,35.1204,-120.6199,United States,US,USA,California,,13628.0,Соединети Американски Држави
4867,Carpinteria,Carpinteria,34.3962,-119.5117,United States,US,USA,California,,13622.0,Соединети Американски Држави
4868,Ocean Pointe,Ocean Pointe,21.3145,-158.0289,United States,US,USA,Hawaii,,13579.0,Соединети Американски Држави
4869,Gladeview,Gladeview,25.8395,-80.2368,United States,US,USA,Florida,,13539.0,Соединети Американски Држави
4870,San Carlos,San Carlos,11.2,-84.8333,Nicaragua,NI,NIC,Río San Juan,admin,13451.0,Никарагва
4871,Kemp Mill,Kemp Mill,39.0412,-77.0214,United States,US,USA,Maryland,,13445.0,Соединети Американски Држави
4872,La Grange Park,La Grange Park,41.8308,-87.8723,United States,US,USA,Illinois,,13433.0,Соединети Американски Држави
4873,Chitipa,Chitipa,-9.7162,33.2666,Malawi,MW,MWI,Chitipa,admin,13412.0,Малави
4874,Faya,Faya,17.9167,19.1167,Chad,TD,TCD,Borkou,admin,13400.0,Чад
4875,Luganville,Luganville,-15.5126,167.1766,Vanuatu,VU,VUT,Sanma,admin,13397.0,Вануату
4876,Mariental,Mariental,-24.6196,17.9599,Namibia,,NAM,Hardap,admin,13380.0,Намибија
4877,Shorewood,Shorewood,43.0914,-87.8864,United States,US,USA,Wisconsin,,13338.0,Соединети Американски Држави
4878,Ardmore,Ardmore,40.0032,-75.2947,United States,US,USA,Pennsylvania,,13193.0,Соединети Американски Држави
4879,Key Biscayne,Key Biscayne,25.6908,-80.1653,United States,US,USA,Florida,,13182.0,Соединети Американски Држави
4880,Four Corners,Four Corners,29.6705,-95.6597,United States,US,USA,Texas,,13178.0,Соединети Американски Држави
4881,Eisenstadt,Eisenstadt,47.8333,16.5333,Austria,AT,AUT,Burgenland,admin,13165.0,Австрија
4882,Waimalu,Waimalu,21.3913,-157.9345,United States,US,USA,Hawaii,,13158.0,Соединети Американски Држави
4883,Ridgefield Park,Ridgefield Park,40.8543,-74.0201,United States,US,USA,New Jersey,,13154.0,Соединети Американски Држави
4884,Manatí,Manati,18.4283,-66.4823,Puerto Rico,PR,PRI,Puerto Rico,,13130.0,Порторико
4885,Coatesville,Coatesville,39.9849,-75.8199,United States,US,USA,Pennsylvania,,13123.0,Соединети Американски Држави
4886,Guerrero Negro,Guerrero Negro,27.9904,-114.17,Mexico,MX,MEX,Baja California,,13054.0,Мексико
4887,Menongue,Menongue,-14.6666,17.7,Angola,AO,AGO,Kuando Kubango,admin,13030.0,Ангола
4888,University Heights,University Heights,41.4948,-81.5348,United States,US,USA,Ohio,,13028.0,Соединети Американски Држави
4889,New Carrollton,New Carrollton,38.9654,-76.8773,United States,US,USA,Maryland,,13023.0,Соединети Американски Држави
4890,Kumi,Kumi,1.4608,33.9361,Uganda,UG,UGA,Kumi,admin,13000.0,Уганда
4891,Río Grande,Rio Grande,18.3789,-65.8388,Puerto Rico,PR,PRI,Puerto Rico,,12998.0,Порторико
4892,Sugarland Run,Sugarland Run,39.0309,-77.3762,United States,US,USA,Virginia,,12994.0,Соединети Американски Држави
4893,Huntington,Huntington,38.7916,-77.074,United States,US,USA,Virginia,,12992.0,Соединети Американски Држави
4894,Kisoro,Kisoro,-1.3539,29.6983,Uganda,UG,UGA,Kisoro,admin,12900.0,Уганда
4895,Obo,Obo,5.4,26.5,Central African Republic,CF,CAF,Haut-Mbomou,admin,12887.0,Централноафриканска Република
4896,Kingston,Kingston,41.2652,-75.8875,United States,US,USA,Pennsylvania,,12878.0,Соединети Американски Држави
4897,Clarkston,Clarkston,33.8117,-84.2405,United States,US,USA,Georgia,,12848.0,Соединети Американски Држави
4898,Liestal,Liestal,47.483,7.737,Switzerland,CH,CHE,Basel-Landschaft,admin,12832.0,Швајцарија
4899,Vicente Guerrero,Vicente Guerrero,30.7641,-116.0093,Mexico,MX,MEX,Baja California,,12829.0,Мексико
4900,Wilton Manors,Wilton Manors,26.1593,-80.1395,United States,US,USA,Florida,,12773.0,Соединети Американски Држави
4901,Kamuli,Kamuli,0.9472,33.1197,Uganda,UG,UGA,Kamuli,admin,12764.0,Уганда
4902,Federal Heights,Federal Heights,39.8651,-105.0154,United States,US,USA,Colorado,,12744.0,Соединети Американски Држави
4903,Bubanza,Bubanza,-3.0833,29.3667,Burundi,BI,BDI,Bubanza,admin,12728.0,Бурунди
4904,Ziniaré,Ziniare,12.577,-1.293,Burkina Faso,BF,BFA,Plateau-Central,admin,12703.0,Буркина Фасо
4905,Garbahaarrey,Garbahaarrey,3.327,42.227,Somalia,SO,SOM,Gedo,admin,12652.0,Сомалија
4906,Tovuz,Tovuz,40.9922,45.6289,Azerbaijan,AZ,AZE,Tovuz,admin,12626.0,Азербејџан
4907,Cornelius,Cornelius,45.5189,-123.0516,United States,US,USA,Oregon,,12493.0,Соединети Американски Држави
4908,Isla Mujeres,Isla Mujeres,21.2084,-86.7115,Mexico,MX,MEX,Quintana Roo,minor,12491.0,Мексико
4909,Patchogue,Patchogue,40.7621,-73.0185,United States,US,USA,New York,,12489.0,Соединети Американски Држави
4910,Salisbury,Salisbury,40.7454,-73.5604,United States,US,USA,New York,,12474.0,Соединети Американски Држави
4911,North Merrick,North Merrick,40.6871,-73.5615,United States,US,USA,New York,,12436.0,Соединети Американски Држави
